codigo_sector,nombre_sector,codigo_subsector,nombre_subsector,codigo_rama,nombre_rama,codigo_subrama,nombre_subrama
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11111,cultivo de soyat
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11112,"cultivo de semillas oleaginosas, excepto soyat"
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11113,cultivo de leguminosast
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11114,cultivo de trigot
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11115,cultivo de mazt
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11116,cultivo de arrozt
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1111,"cultivo de semillas oleaginosas, leguminosas y cerealest",11119,cultivo de otros cerealest
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1112,cultivo de hortalizast,11121,cultivo de hortalizast
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1113,cultivo de frutales y nuecest,11131,cultivo de naranjat
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1113,cultivo de frutales y nuecest,11132,cultivo de otros ctricost
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1113,cultivo de frutales y nuecest,11133,cultivo de frutales no ctricos y de nuecest
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1114,"cultivo en invernaderos y otras estructuras agrcolas protegidas, y floriculturat",11141,cultivo de productos alimenticios en invernaderos y otras estructuras agrcolas protegidast
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1114,"cultivo en invernaderos y otras estructuras agrcolas protegidas, y floriculturat",11142,"floricultura, y otros cultivos de productos no alimenticios en invernaderos y otras estructuras agrcolas protegidast"
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1119,otros cultivost,11191,cultivo de tabacot
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1119,otros cultivost,11192,cultivo de algodnt
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1119,otros cultivost,11193,cultivo de caa de azcart
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1119,otros cultivost,11194,cultivo de alfalfa y pastost
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",111,agriculturat,1119,otros cultivost,11199,otros cultivost
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1121,explotacin de bovinost,11211,explotacin de bovinos para la produccin de carnet
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1121,explotacin de bovinost,11212,explotacin de bovinos para la produccin de lechet
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1121,explotacin de bovinost,11213,explotacin de bovinos sin especializacin y para otros propsitost
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1122,explotacin de porcinost,11221,explotacin de porcinost
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1123,explotacin avcolat,11231,explotacin de gallinas para la produccin de huevot
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1123,explotacin avcolat,11232,explotacin de pollos para la produccin de carnet
11,"agricultura, cra y explotacin de animales, aprovechamiento forestal, pesca y cazat",112,cra y explotacin de animalest,1123,explotacin avcolat,11233,explotacin de guajolotes o pavost
